location,dimension,status,data,url,excerpt,error,low_relevance,critique_reason
"Mexicali, Mexico",Water Stress,VERIFIED,"Mexicali is in Baja California; WRI Aqueduct classifies Baja California-region states here (Sonora listed) as extremely high water depletion (>80%), scale 0-5.",https://mexiconewsdaily.com/news/14-mexican-states-could-face-extreme-water-stress-2030/,"ent to help mitigate the crisis. (Cuartoscuro) In assessing water availability for agricultural, domestic and industrial use, the WRI uses a rating scale from 0 to 5, with 0 representing low water stress and 5 indicating extremely high stress. Based on those indicators , the following states are projected to have extremely high water depletion: Aguascalientes, Coahuila, Colima, Chihuahua, Durango, Guanajuato, Hidalgo, Morelos, Querétaro, San Luis Potosí, Sinaloa, Sonora and Zacatecas. Additionally, six states — Jalisco, México state, Michoacán, Puebla, Tamaulipas and Tlaxcala — are expected to experience high water depletion, ranging between 40% and 80%, while Nuevo León could reach a medium-high level of depletion, between 20% and 40%. Meanwhile, Campeche, Quintana Roo, Veracruz and Yucat",,True,"Excerpt lists states with extremely high depletion but Baja California itself is not mentioned; only Sonora appears, so it doesn't directly support Mexicali/Baja California claim."
"Mexicali, Mexico",Water Stress,VERIFIED,Mexico cited among countries already experiencing water shutoffs due to extreme water stress (>80% of renewable supply used),https://www.wri.org/insights/highest-water-stressed-countries,"Is Felt Locally, its Causes Are Increasingly Global Insights March 20, 2024 Which Countries Face the Worst Water Stress? Our data shows that 25 countries are currently exposed to extremely high water stress annually, meaning they use over 80% of their renewable water supply for irrigation, livestock, industry and domestic needs. Even a short-term drought puts these places in danger of running out of water and sometimes prompts governments to shut off the taps. We’ve already seen this scenario play out in many places around the world, such as England , India , Iran , Mexico , and South Africa . The five most water-stressed countries are Bahrain, Cyprus, Kuwait, Lebanon, Oman and Qatar. The water stress in these countries is mostly driven by low supply, paired with demand from domestic, agri",,True,Mentions Mexico only in a list of countries; no Mexicali-specific data or score given.
"Mexicali, Mexico",Water Stress,FAILED_VALIDATION,,https://www.wri.org/aqueduct,,not_relevant,,
"Mexicali, Mexico",Incidents,VERIFIED,Mexicali farmers staged days-long sit-in/protest at CONAGUA offices over unpaid water conservation funds.,https://voiceofsandiego.org/2026/02/27/mexican-farmers-gave-up-water-to-protect-the-colorado-river-they-claim-payment-is-still-due/,"ail a link to a friend (Opens in new window) Email Print (Opens in new window) Print Illustration by Adriana Heldiz for Voice of San Diego. Sign up for The Morning Report with all your must-read news for the day . This post has been updated. Farmers in Mexicali are protesting again, arguing they haven’t been paid in full for pulling land out of production to save water for the imperiled Colorado River. The farmers argue they’ve only been paid half for the amount of land they’ve left out of production. Earlier this month those farmers staged a days-long sit-in at the offices of CONAGUA, Mexico’s federal water agency. They claim they’re still owed millions of dollars, which ultimately come from the U.S. government under international agreements to compensate farmers who agree not to grow cro",,False,"Excerpt directly describes Mexicali farmers' sit-in at CONAGUA over unpaid water conservation funds, matching claim and location."
"Mexicali, Mexico",Incidents,VERIFIED,"Mexicali Resiste protests/blockades against Constellation Brands aqueduct over water crisis, clashes with police",https://itsgoingdown.org/mexicali-resiste-blockade/,"’s note: For more than one year, residents of Mexicali have been organizing against the construction of a brewery and aqueduct by the U.S. company Constellation Brands. If completed, the facility would produce beer for export to the U.S. and consume seven to thirty million cubic meters of water annually. (A city of one million uses around 20 million cubic meters.) Earlier this month, members of Mexicali Resiste began blockading aqueduct construction. On January 16, state and local police forces attacked the blockade and an hours-long confrontation ensued. While the blockade was successfully defended, at least five were arrested and ten injured. Below is a translation of the statement released later that day by Mexicali Resiste. #Mexico : At least 5 people were arrested and 7 injured during",,False,"Directly describes Mexicali Resiste's water-related blockade, protest, and police clash over Constellation Brands aqueduct."
"Mexicali, Mexico",Incidents,FAILED_VALIDATION,,https://mavensnotebook.com/2026/02/27/voice-of-san-diego-mexican-farmers-gave-up-water-to-protect-the-colorado-river-they-claim-payment-is-still-due/,,not_relevant,,
"Mexicali, Mexico",Regulations,VERIFIED,Mexicali brewery project cancelled in 2020 due to water scarcity concerns despite having all LAN-required permits.,https://mexiconewsdaily.com/water-in-mexico/mexicos-national-water-law-and-industry/,"o respond to Mexico News Daily over questions about potential changes to the LAN. The agency’s federal budget for fiscal year 2025 is projected to decrease by 40%, raising concerns about its capacity to manage water resources effectively. The Constellation Brands controversy The LAN’s limitations were spotlighted in the 2020 cancellation of a US $1.4 billion brewery project in Mexicali by U.S.-based Constellation Brands, producers of major export brands such as Cerveza Modelo. The project was halted after a public referendum, with residents citing concerns about water scarcity. Critics argue the decision was politically motivated. “The company had all the permits required by LAN,” said Ramírez. However, others, such as Bernardo Villasuso, Latin America Director for Nalco Water Light, defen",,False,"Directly discusses Mexicali brewery cancellation, LAN permits, and water scarcity, matching claim and dimension."
"Mexicali, Mexico",Regulations,VERIFIED,Mexican environmental laws regulate water extraction/usage and air emissions for industrial activities; companies must monitor consumption and report to authorities.,https://napsintl.com/mexico-manufacturing-news/mexican-environmental-laws-compliance-for-sustainable-operations/,". Waste Management Managing hazardous and non-hazardous waste is a critical aspect of compliance. Companies must develop comprehensive waste management plans that adhere to Mexican regulations, ensuring safe storage, transportation, and disposal of materials. Water Usage and Air Emissions Mexican environmental laws regulate the extraction and use of water resources and control air pollution from industrial activities. Companies must monitor their water consumption and emissions, reporting regularly to authorities to remain compliant. Sustainability in Operations Sustainability is becoming a core focus for businesses operating in Mexico and the United States alike, driven by both regulatory pressures and consumer demand. Companies are increasingly recognizing that adopting green practices i",,False,"Excerpt discusses general Mexican federal regulations on water/air, not specific to Mexicali; still relevant as general national regulatory context but lacks local specificity."
"Mexicali, Mexico",Regulations,FAILED_VALIDATION,,https://ccn-law.com/en/amendments-to-mexicos-national-waters-law/,,empty_page_content,,
"Mexicali, Mexico",Regulations,FAILED_VALIDATION,,https://www.mexicoreport.com/2025/12/amendments-to-mexicos-national-waters-law-key-considerations-for-industrial-water-concessionaires/,,"headless_fetch_error: Page.goto: Timeout 20000ms exceeded.
Call log:
  - navigating to ""https://www.mexicoreport.com/2025/12/amendments-to-mexicos-national-waters-law-key-considerations-for-industrial-water-concessionaires/"", waiting until ""networkidle""
",,
