location,dimension,status,data,url,excerpt,error
"Mexicali, Mexico",Water Stress,VERIFIED,"Mexicali is in Baja California; state's water depletion category not explicitly listed but Sonora (extremely high, >80%) is neighboring; chunk gives WRI 0-5 scale definitions",https://mexiconewsdaily.com/news/14-mexican-states-could-face-extreme-water-stress-2030/,"ent to help mitigate the crisis. (Cuartoscuro) In assessing water availability for agricultural, domestic and industrial use, the WRI uses a rating scale from 0 to 5, with 0 representing low water stress and 5 indicating extremely high stress. Based on those indicators , the following states are projected to have extremely high water depletion: Aguascalientes, Coahuila, Colima, Chihuahua, Durango, Guanajuato, Hidalgo, Morelos, Querétaro, San Luis Potosí, Sinaloa, Sonora and Zacatecas. Additionally, six states — Jalisco, México state, Michoacán, Puebla, Tamaulipas and Tlaxcala — are expected to experience high water depletion, ranging between 40% and 80%, while Nuevo León could reach a medium-high level of depletion, between 20% and 40%. Meanwhile, Campeche, Quintana Roo, Veracruz and Yucat",
"Mexicali, Mexico",Water Stress,VERIFIED,Mexico listed among countries/places experiencing water shortage crises; part of 25 countries with extremely high water stress (>80% of renewable supply used),https://www.wri.org/insights/highest-water-stressed-countries,"Is Felt Locally, its Causes Are Increasingly Global Insights March 20, 2024 Which Countries Face the Worst Water Stress? Our data shows that 25 countries are currently exposed to extremely high water stress annually, meaning they use over 80% of their renewable water supply for irrigation, livestock, industry and domestic needs. Even a short-term drought puts these places in danger of running out of water and sometimes prompts governments to shut off the taps. We’ve already seen this scenario play out in many places around the world, such as England , India , Iran , Mexico , and South Africa . The five most water-stressed countries are Bahrain, Cyprus, Kuwait, Lebanon, Oman and Qatar. The water stress in these countries is mostly driven by low supply, paired with demand from domestic, agri",
"Mexicali, Mexico",Water Stress,FAILED_VALIDATION,,https://www.wri.org/aqueduct,,not_relevant
"Mexicali, Mexico",Water Stress,FAILED_VALIDATION,,https://www.wri.org/data/aqueduct-water-risk-atlas,,not_relevant
"Mexicali, Mexico",Water Stress,FAILED_VALIDATION,,https://www.wri.org/data/aqueduct-40-country-rankings,,not_relevant
"Mexicali, Mexico",Incidents,VERIFIED,Mexicali Resiste blockaded Constellation Brands aqueduct construction over water crisis concerns for over a year.,https://itsgoingdown.org/mexicali-resiste-blockade/,"’s note: For more than one year, residents of Mexicali have been organizing against the construction of a brewery and aqueduct by the U.S. company Constellation Brands. If completed, the facility would produce beer for export to the U.S. and consume seven to thirty million cubic meters of water annually. (A city of one million uses around 20 million cubic meters.) Earlier this month, members of Mexicali Resiste began blockading aqueduct construction. On January 16, state and local police forces attacked the blockade and an hours-long confrontation ensued. While the blockade was successfully defended, at least five were arrested and ten injured. Below is a translation of the statement released later that day by Mexicali Resiste. #Mexico : At least 5 people were arrested and 7 injured during",
"Mexicali, Mexico",Incidents,VERIFIED,Chihuahua residents violently protested/occupied La Boquilla dam over water diversion to US amid drought,https://www.aljazeera.com/news/2020/9/9/mexico-two-killed-in-clash-with-military-police-near-dam-protest,", the National Guard has said, as tensions rose between protesters and officials in the drought-hit region. Mexicans in the northern border state of Chihuahua, angry at the water being funnelled across the border, on Tuesday evening had hurled Molotov cocktails and rocks at security forces, eventually occupying the La Boquilla dam and closing the sluice gates. The violence comes amid plans to divert additional water to the US due to the so-called “water debt” Mexico has accumulated as part of a bilateral treaty that regulates water sharing between the neighbours. The National Guard said on Twitter that some of its agents from La Boquilla on Tuesday night detained three people found with tear gas and a firearm magazine, and took them for processing to the city of Delicias. There, the Nation",
"Mexicali, Mexico",Regulations,VERIFIED,"Constellation Brands' Mexicali brewery project cancelled in 2020 after referendum over water scarcity concerns, despite holding LAN permits.",https://mexiconewsdaily.com/water-in-mexico/mexicos-national-water-law-and-industry/,"o respond to Mexico News Daily over questions about potential changes to the LAN. The agency’s federal budget for fiscal year 2025 is projected to decrease by 40%, raising concerns about its capacity to manage water resources effectively. The Constellation Brands controversy The LAN’s limitations were spotlighted in the 2020 cancellation of a US $1.4 billion brewery project in Mexicali by U.S.-based Constellation Brands, producers of major export brands such as Cerveza Modelo. The project was halted after a public referendum, with residents citing concerns about water scarcity. Critics argue the decision was politically motivated. “The company had all the permits required by LAN,” said Ramírez. However, others, such as Bernardo Villasuso, Latin America Director for Nalco Water Light, defen",
"Mexicali, Mexico",Regulations,VERIFIED,Mexican environmental laws regulate industrial water extraction/use and air emissions; companies must monitor and report water consumption to authorities.,https://napsintl.com/mexico-manufacturing-news/mexican-environmental-laws-compliance-for-sustainable-operations/,". Waste Management Managing hazardous and non-hazardous waste is a critical aspect of compliance. Companies must develop comprehensive waste management plans that adhere to Mexican regulations, ensuring safe storage, transportation, and disposal of materials. Water Usage and Air Emissions Mexican environmental laws regulate the extraction and use of water resources and control air pollution from industrial activities. Companies must monitor their water consumption and emissions, reporting regularly to authorities to remain compliant. Sustainability in Operations Sustainability is becoming a core focus for businesses operating in Mexico and the United States alike, driven by both regulatory pressures and consumer demand. Companies are increasingly recognizing that adopting green practices i",
"Mexicali, Mexico",Regulations,FAILED_VALIDATION,,https://ccn-law.com/en/amendments-to-mexicos-national-waters-law/,,empty_page_content
